,locationId,location,parameter,value,date,,coordinates,,city,isMobile,isAnalysis,entity,sensorType
65,1275795,Kitchener,pm25,32,utc': '2023-07-17T19:00:00+00:00', 'local': '2023-07-17T15:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
66,1275795,Kitchener,pm25,29,utc': '2023-07-17T20:00:00+00:00', 'local': '2023-07-17T16:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
67,1275795,Kitchener,pm25,26,utc': '2023-07-17T21:00:00+00:00', 'local': '2023-07-17T17:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
68,1275795,Kitchener,pm25,20,utc': '2023-07-17T22:00:00+00:00', 'local': '2023-07-17T18:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
69,1275795,Kitchener,pm25,17,utc': '2023-07-17T23:00:00+00:00', 'local': '2023-07-17T19:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
70,1275795,Kitchener,pm25,17,utc': '2023-07-18T00:00:00+00:00', 'local': '2023-07-17T20:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
71,1275795,Kitchener,pm25,18,utc': '2023-07-18T01:00:00+00:00', 'local': '2023-07-17T21:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
72,1275795,Kitchener,pm25,20,utc': '2023-07-18T02:00:00+00:00', 'local': '2023-07-17T22:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
73,1275795,Kitchener,pm25,21,utc': '2023-07-18T03:00:00+00:00', 'local': '2023-07-17T23:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
74,1275795,Kitchener,pm25,22,utc': '2023-07-18T04:00:00+00:00', 'local': '2023-07-18T00:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
75,1275795,Kitchener,pm25,19,utc': '2023-07-18T05:00:00+00:00', 'local': '2023-07-18T01:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
76,1275795,Kitchener,pm25,17,utc': '2023-07-18T06:00:00+00:00', 'local': '2023-07-18T02:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
77,1275795,Kitchener,pm25,17,utc': '2023-07-18T07:00:00+00:00', 'local': '2023-07-18T03:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
78,1275795,Kitchener,pm25,17,utc': '2023-07-18T08:00:00+00:00', 'local': '2023-07-18T04:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
79,1275795,Kitchener,pm25,18,utc': '2023-07-18T09:00:00+00:00', 'local': '2023-07-18T05:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
80,1275795,Kitchener,pm25,17,utc': '2023-07-18T10:00:00+00:00', 'local': '2023-07-18T06:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
81,1275795,Kitchener,pm25,16,utc': '2023-07-18T11:00:00+00:00', 'local': '2023-07-18T07:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
82,1275795,Kitchener,pm25,12,utc': '2023-07-18T12:00:00+00:00', 'local': '2023-07-18T08:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
83,1275795,Kitchener,pm25,9,utc': '2023-07-18T13:00:00+00:00', 'local': '2023-07-18T09:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
84,1275795,Kitchener,pm25,7,utc': '2023-07-18T14:00:00+00:00', 'local': '2023-07-18T10:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
85,1275795,Kitchener,pm25,6,utc': '2023-07-18T15:00:00+00:00', 'local': '2023-07-18T11:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
86,1275795,Kitchener,pm25,4,utc': '2023-07-18T16:00:00+00:00', 'local': '2023-07-18T12:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
87,1275795,Kitchener,pm25,4,utc': '2023-07-18T17:00:00+00:00', 'local': '2023-07-18T13:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
88,1275795,Kitchener,pm25,4,utc': '2023-07-18T18:00:00+00:00', 'local': '2023-07-18T14:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
89,1275795,Kitchener,pm25,4,utc': '2023-07-18T19:00:00+00:00', 'local': '2023-07-18T15:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
90,1275795,Kitchener,pm25,4,utc': '2023-07-18T20:00:00+00:00', 'local': '2023-07-18T16:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
91,1275795,Kitchener,pm25,5,utc': '2023-07-18T21:00:00+00:00', 'local': '2023-07-18T17:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
92,1275795,Kitchener,pm25,4,utc': '2023-07-18T22:00:00+00:00', 'local': '2023-07-18T18:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
93,1275795,Kitchener,pm25,4,utc': '2023-07-18T23:00:00+00:00', 'local': '2023-07-18T19:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
94,1275795,Kitchener,pm25,5,utc': '2023-07-19T00:00:00+00:00', 'local': '2023-07-18T20:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
95,1275795,Kitchener,pm25,5,utc': '2023-07-19T01:00:00+00:00', 'local': '2023-07-18T21:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
96,1275795,Kitchener,pm25,6,utc': '2023-07-19T02:00:00+00:00', 'local': '2023-07-18T22:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
97,1275795,Kitchener,pm25,7,utc': '2023-07-19T03:00:00+00:00', 'local': '2023-07-18T23:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
98,1275795,Kitchener,pm25,7,utc': '2023-07-19T04:00:00+00:00', 'local': '2023-07-19T00:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
99,1275795,Kitchener,pm25,7,utc': '2023-07-19T05:00:00+00:00', 'local': '2023-07-19T01:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
100,1275795,Kitchener,pm25,7,utc': '2023-07-19T06:00:00+00:00', 'local': '2023-07-19T02:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
101,1275795,Kitchener,pm25,8,utc': '2023-07-19T07:00:00+00:00', 'local': '2023-07-19T03:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
102,1275795,Kitchener,pm25,8,utc': '2023-07-19T08:00:00+00:00', 'local': '2023-07-19T04:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
103,1275795,Kitchener,pm25,8,utc': '2023-07-19T10:00:00+00:00', 'local': '2023-07-19T06:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
104,1275795,Kitchener,pm25,10,utc': '2023-07-19T11:00:00+00:00', 'local': '2023-07-19T07:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
105,1275795,Kitchener,pm25,7,utc': '2023-07-19T12:00:00+00:00', 'local': '2023-07-19T08:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
106,1275795,Kitchener,pm25,7,utc': '2023-07-19T13:00:00+00:00', 'local': '2023-07-19T09:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
107,1275795,Kitchener,pm25,7,utc': '2023-07-19T14:00:00+00:00', 'local': '2023-07-19T10:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
108,1275795,Kitchener,pm25,7,utc': '2023-07-19T15:00:00+00:00', 'local': '2023-07-19T11:00:00-04:00',latitude': 43.443833, 'longitude': -80.503806,,FALSE,,Person,low-cost sensor
